,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,3634983,1689645275.516857564,2449,19,4,640000,641000
0,3636620,1689645277.058007850,2481,37,27,820000,821000
0,3658076,1689645298.869670946,3035,15,16,3150000,3155000
0,3700381,1689645339.562747282,1609,60,105,394500,395500
0,3703494,1689645342.739194680,2615,26,3,507000,508000
0,3714864,1689645353.775517645,4938,43,2,854000,855000
0,3717584,1689645356.333912513,4938,1,18,856000,857000
0,3717669,1689645356.411885924,4938,4,17,855000,857000
0,3733724,1689645370.556752305,3035,67,41,3165000,3175000
0,3736892,1689645373.241408926,3035,70,41,3165000,3175000
0,3743943,1689645379.009120274,3035,59,12,3165000,3170000
0,3743943,1689645379.009120274,3035,59,12,3165000,3170000
0,3744841,1689645379.580941888,4938,1,35,855000,856000
0,3745709,1689645380.182362231,4938,1,34,855000,856000
0,3749129,1689645382.226557953,4938,11,22,852000,853000
0,3749914,1689645382.705742159,4938,49,1,851000,852000
0,3748909,1689645382.119615789,3006,34,13,776000,778000
0,3752193,1689645383.829468940,2327,18,11,4910000,4915000
0,3747779,1689645381.477309127,3034,6,19,4105000,4110000
0,3755266,1689645385.908374422,4938,45,7,851000,853000
0,3756937,1689645387.038103876,2393,14,1,537000,538000
0,3759067,1689645388.653433603,4938,39,11,851000,852000
0,3768746,1689645396.323859192,4938,5,26,849000,850000
0,3777486,1689645405.356097982,3443,4,5,18050000,18100000
0,3784016,1689645412.283969373,2618,96,90,371500,372000
0,3786353,1689645414.943289884,2618,106,1,371500,372000
0,3787706,1689645416.294152293,2634,99,3,538000,539000
0,3791177,1689645420.618728070,2618,102,72,371500,372000
0,3792627,1689645422.300403435,2618,102,60,371500,372000
0,3800370,1689645429.854253357,2313,2,1,474500,475500
0,3820819,1689645453.354945420,3035,11,9,3160000,3165000
0,3830595,1689645465.892505730,3035,4,12,3165000,3170000
0,3860386,1689645505.070666624,3035,31,6,3160000,3170000
0,3862519,1689645507.793610333,2368,2,36,1755000,1760000
0,3888517,1689645542.417379106,3019,1,5,667000,669000
0,3901703,1689645561.712877458,2481,24,65,819000,821000
0,3908912,1689645574.108584467,3035,2,20,3160000,3165000
0,3918288,1689645591.012243732,3035,15,20,3165000,3170000
0,3927821,1689645603.077050204,2474,17,32,1770000,1775000
0,3929309,1689645604.490923649,3035,15,11,3175000,3180000
0,3928538,1689645603.613571463,2634,7,181,539000,540000
0,3944222,1689645625.887654388,2371,7,34,499500,501000
0,3953305,1689645638.283570141,3035,35,27,3185000,3190000
0,3963199,1689645651.866138855,2481,31,1,820000,821000
0,3981534,1689645678.767686493,2371,11,27,500000,501000
0,3987345,1689645688.436444975,3035,77,1,3190000,3195000
0,4007059,1689645721.397242345,3035,49,31,3200000,3205000
0,4008671,1689645723.302235124,3035,59,24,3200000,3205000
0,4013277,1689645731.159183741,2393,5,48,537000,538000
0,4014081,1689645732.466931468,3035,41,61,3205000,3210000
0,4013972,1689645732.311341288,6213,2,2,757000,761000
0,4020337,1689645740.637812184,3035,27,59,3210000,3215000
0,4023782,1689645745.192244716,3035,44,28,3210000,3215000
0,4023955,1689645745.455504063,3035,44,21,3210000,3215000
0,4033899,1689645757.443091864,3006,13,2,777000,778000
0,4043287,1689645766.654246505,6213,2,3,757000,759000
0,4042466,1689645765.800133140,2371,5,70,499500,500000
0,4058530,1689645785.092409558,3035,12,5,3205000,3210000
0,4060840,1689645787.704331230,3035,12,4,3205000,3210000
0,4069878,1689645800.234132691,2368,44,1,1740000,1745000
0,4078805,1689645812.745305191,3035,23,45,3200000,3205000
0,4079006,1689645812.993258686,3035,21,43,3200000,3205000
0,4078289,1689645811.862653540,3034,47,7,4100000,4105000
